order_id,marketplace,sku,order_date,quantity,unit_price,discount_pct,order_status,state
ORD-000001,Amazon,SKU-1005,2026-04-13,1,139.99,0.0,Delivered,IL
ORD-000002,eBay,SKU-1004,2026-02-10,1,49.99,0.0,Delivered,CA
ORD-000003,eBay,SKU-1002,2026-06-21,1,169.99,0.0,Delivered,AZ
ORD-000004,Amazon,SKU-1007,2026-05-21,1,74.99,0.0,Delivered,TX
ORD-000005,Amazon,SKU-1001,2026-05-01,1,80.99,0.1,Delivered,FL
ORD-000006,Amazon,SKU-1008,2026-06-23,1,90.24,0.05,Delivered,TX
ORD-000007,Amazon,SKU-1002,2026-07-21,1,169.99,0.0,Delivered,TX
ORD-000008,Amazon,SKU-1001,2026-07-14,2,89.99,0.0,Delivered,WA
ORD-000009,eBay,SKU-1006,2026-02-20,1,129.99,0.0,Delivered,CA
ORD-000010,Wayfair,SKU-1003,2026-07-15,1,249.99,0.0,Delivered,IL
ORD-000011,Wayfair,SKU-1001,2026-04-23,1,89.99,0.0,Delivered,FL
ORD-000012,Amazon,SKU-1006,2026-06-09,1,110.49,0.15,Delivered,TX
ORD-000013,Amazon,SKU-1002,2026-04-10,2,169.99,0.0,Delivered,TX
ORD-000014,Amazon,SKU-1008,2026-06-08,1,94.99,0.0,Delivered,FL
ORD-000015,Amazon,SKU-1007,2026-02-18,1,71.24,0.05,Delivered,TX
ORD-000016,Wayfair,SKU-1004,2026-07-26,2,44.99,0.1,Delivered,TX
ORD-000017,Amazon,SKU-1005,2026-05-24,1,139.99,0.0,Delivered,WA
ORD-000018,eBay,SKU-1008,2026-06-11,3,80.74,0.15,Delivered,WA
ORD-000019,Amazon,SKU-1005,2026-03-15,1,125.99,0.1,Delivered,CA
ORD-000020,Amazon,SKU-1003,2026-05-05,2,224.99,0.1,Delivered,CA
ORD-000021,Wayfair,SKU-1007,2026-02-23,2,67.49,0.1,Cancelled,FL
ORD-000022,eBay,SKU-1001,2026-06-22,1,85.49,0.05,Delivered,MA
ORD-000023,eBay,SKU-1008,2026-07-28,1,94.99,0.0,Cancelled,WA
ORD-000024,Amazon,SKU-1004,2026-03-04,1,49.99,0.0,Delivered,FL
ORD-000025,Amazon,SKU-1005,2026-07-13,1,139.99,0.0,Delivered,TX
ORD-000026,Amazon,SKU-1004,2026-06-06,1,49.99,0.0,Delivered,FL
ORD-000027,eBay,SKU-1004,2026-05-17,1,49.99,0.0,Delivered,NY
ORD-000028,eBay,SKU-1004,2026-07-24,1,47.49,0.05,Delivered,WA
ORD-000029,Amazon,SKU-1007,2026-03-23,1,74.99,0.0,Delivered,TX
ORD-000030,Wayfair,SKU-1002,2026-05-26,2,144.49,0.15,Delivered,WA
ORD-000031,Amazon,SKU-1004,2026-02-25,3,42.49,0.15,Delivered,NY
ORD-000032,Amazon,SKU-1002,2026-02-17,1,169.99,0.0,Delivered,MA
ORD-000033,Amazon,SKU-1007,2026-07-30,3,59.99,0.2,Delivered,WA
ORD-000034,Amazon,SKU-1001,2026-02-16,1,85.49,0.05,Delivered,CA
ORD-000035,Amazon,SKU-1005,2026-06-17,1,111.99,0.2,Delivered,CA
ORD-000036,eBay,SKU-1005,2026-04-03,1,111.99,0.2,Delivered,FL
ORD-000037,Amazon,SKU-1001,2026-07-20,1,85.49,0.05,Delivered,CA
ORD-000038,Amazon,SKU-1006,2026-05-14,1,123.49,0.05,Delivered,MA
ORD-000039,Amazon,SKU-1008,2026-07-11,4,75.99,0.2,Delivered,CA
ORD-000040,Wayfair,SKU-1002,2026-02-19,2,169.99,0.0,Delivered,AZ
ORD-000041,eBay,SKU-1006,2026-07-19,1,116.99,0.1,Delivered,MA
ORD-000042,Wayfair,SKU-1001,2026-04-10,1,89.99,0.0,Delivered,TX
ORD-000043,eBay,SKU-1005,2026-03-26,1,118.99,0.15,Delivered,TX
ORD-000044,Amazon,SKU-1008,2026-07-14,1,94.99,0.0,Delivered,IL
ORD-000045,Amazon,SKU-1005,2026-05-26,1,139.99,0.0,Delivered,CA
ORD-000046,Wayfair,SKU-1008,2026-06-21,1,94.99,0.0,Delivered,NY
