order_id,carrier,shipping_cost,service_level,ship_date,delivery_date,delivery_status,package_weight_lb,outlier_threshold
ORD-002964,UPS,146.0,2-Day,2026-05-29,2026-06-01,Delivered,43.11,39.1
ORD-002400,UPS,102.47,2-Day,2026-05-17,2026-05-20,Delivered,25.2,39.1
ORD-001668,FedEx,86.95,2-Day,2026-04-24,2026-04-27,Delivered,14.89,39.1
ORD-000554,USPS,82.66,Ground,2026-07-09,2026-07-15,Delivered,39.94,39.1
ORD-000542,USPS,80.51,2-Day,2026-05-05,2026-05-08,In Transit,19.36,39.1
ORD-003799,USPS,80.12,Standard,2026-06-24,2026-06-29,Delivered,31.59,39.1
ORD-002154,FedEx,76.86,2-Day,2026-06-20,2026-06-23,Delivered,15.05,39.1
ORD-002110,UPS,74.58,Standard,2026-05-01,2026-05-05,Delivered,35.07,39.1
ORD-003811,UPS,72.71,2-Day,2026-07-17,2026-07-18,Delivered,19.36,39.1
ORD-004200,FedEx,70.25,Standard,2026-05-11,2026-05-17,In Transit,29.4,39.1
ORD-001740,FedEx,65.74,2-Day,2026-04-04,2026-04-07,Delivered,11.98,39.1
ORD-004059,USPS,62.79,Ground,2026-03-29,2026-04-05,Delivered,19.43,39.1
ORD-003112,FedEx,60.78,2-Day,2026-06-15,2026-06-17,In Transit,8.59,39.1
ORD-000191,UPS,60.02,2-Day,2026-05-12,2026-05-15,Delivered,12.19,39.1
ORD-000766,USPS,58.4,2-Day,2026-04-25,2026-04-28,In Transit,18.07,39.1
ORD-003490,USPS,57.29,Ground,2026-07-09,2026-07-13,In Transit,23.56,39.1
ORD-002832,FedEx,56.72,2-Day,2026-02-27,2026-02-28,Delivered,60.09,39.1
ORD-000027,FedEx,56.64,Standard,2026-05-18,2026-05-26,Delivered,18.41,39.1
ORD-002398,FedEx,55.91,Ground,2026-03-13,2026-03-19,Delivered,31.0,39.1
ORD-000340,UPS,55.23,Standard,2026-05-13,2026-05-18,Delivered,16.63,39.1
ORD-001087,USPS,52.37,Ground,2026-06-26,2026-06-29,Delivered,12.56,39.1
ORD-000647,UPS,51.88,Standard,2026-05-29,2026-06-04,Delivered,18.79,39.1
ORD-001564,UPS,51.82,Ground,2026-07-28,2026-08-01,Delivered,17.74,39.1
ORD-002373,UPS,49.84,Ground,2026-02-25,2026-03-04,Delivered,19.83,39.1
ORD-000541,USPS,49.1,Standard,2026-04-17,2026-04-22,Delivered,22.97,39.1
ORD-003524,FedEx,49.08,2-Day,2026-05-22,2026-05-25,Delivered,49.82,39.1
ORD-001514,UPS,48.91,Standard,2026-02-07,2026-02-13,Delivered,19.69,39.1
ORD-003215,UPS,48.47,2-Day,2026-06-12,2026-06-15,In Transit,7.68,39.1
ORD-001684,FedEx,48.1,Ground,2026-02-22,2026-02-25,Delivered,84.06,39.1
ORD-003217,USPS,47.5,Ground,2026-07-02,2026-07-05,Delivered,9.44,39.1
ORD-002783,FedEx,47.49,2-Day,2026-06-12,2026-06-14,Delivered,52.37,39.1
ORD-002460,USPS,47.29,Ground,2026-05-15,2026-05-18,Delivered,26.39,39.1
ORD-003086,FedEx,46.01,Standard,2026-07-26,2026-08-01,Delivered,18.64,39.1
ORD-002692,UPS,43.37,Ground,2026-05-29,2026-06-01,Delivered,10.35,39.1
ORD-004016,UPS,42.4,Ground,2026-04-25,2026-04-30,Delivered,72.19,39.1
ORD-001464,USPS,42.02,Ground,2026-06-18,2026-06-24,Delivered,56.94,39.1
ORD-003519,USPS,40.81,2-Day,2026-07-24,2026-07-27,Delivered,26.71,39.1
ORD-002422,FedEx,39.86,2-Day,2026-05-25,2026-05-26,Delivered,11.12,39.1
ORD-001605,USPS,39.18,2-Day,2026-07-26,2026-07-28,Delivered,29.68,39.1
ORD-001315,FedEx,39.15,2-Day,2026-03-02,2026-03-05,Delivered,36.47,39.1
