return_id,order_id,return_date,return_reason,refund_amount
RET-00001,ORD-000016,2026-08-18,Not as expected,77.92
RET-00002,ORD-000046,2026-06-30,Not as expected,94.05
RET-00003,ORD-000054,2026-03-03,Changed mind,115.03
RET-00004,ORD-000089,2026-04-18,Changed mind,110.77
RET-00005,ORD-000120,2026-02-08,Damaged,86.44
RET-00006,ORD-000126,2026-05-30,Not as expected,46.81
RET-00007,ORD-000133,2026-03-10,Changed mind,221.32
RET-00008,ORD-000164,2026-04-11,Wrong item,82.54
RET-00009,ORD-000174,2026-08-11,Wrong item,38.6
RET-00010,ORD-000187,2026-03-30,Damaged,71.9
RET-00011,ORD-000190,2026-04-27,Damaged,63.89
RET-00012,ORD-000217,2026-04-07,Not as expected,92.52
RET-00013,ORD-000221,2026-03-16,Changed mind,114.59
RET-00014,ORD-000232,2026-06-07,Late delivery,74.11
RET-00015,ORD-000238,2026-05-07,Wrong item,381.66
RET-00016,ORD-000246,2026-07-30,Late delivery,70.61
RET-00017,ORD-000268,2026-07-26,Changed mind,136.42
RET-00018,ORD-000288,2026-04-12,Damaged,39.76
RET-00019,ORD-000297,2026-07-03,Not as expected,243.37
RET-00020,ORD-000363,2026-04-14,Not as expected,68.02
RET-00021,ORD-000372,2026-08-28,Wrong item,107.21
RET-00022,ORD-000386,2026-07-30,Damaged,94.98
RET-00023,ORD-000389,2026-04-27,Late delivery,66.42
RET-00024,ORD-000398,2026-03-02,Damaged,226.75
RET-00025,ORD-000404,2026-07-06,Changed mind,138.78
RET-00026,ORD-000421,2026-03-20,Changed mind,110.89
RET-00027,ORD-000455,2026-05-17,Wrong item,44.57
RET-00028,ORD-000458,2026-06-18,Not as expected,78.39
RET-00029,ORD-000478,2026-08-01,Damaged,66.38
RET-00030,ORD-000528,2026-04-14,Wrong item,100.43
RET-00031,ORD-000539,2026-06-07,Changed mind,103.78
RET-00032,ORD-000554,2026-08-04,Damaged,131.93
RET-00033,ORD-000579,2026-08-06,Not as expected,496.66
RET-00034,ORD-000584,2026-05-07,Wrong item,63.31
RET-00035,ORD-000604,2026-04-23,Changed mind,126.42
RET-00036,ORD-000609,2026-05-23,Wrong item,689.58
RET-00037,ORD-000703,2026-06-13,Not as expected,123.6
RET-00038,ORD-000721,2026-08-06,Wrong item,71.02
RET-00039,ORD-000722,2026-04-23,Not as expected,38.54
RET-00040,ORD-000801,2026-03-11,Wrong item,40.89
RET-00041,ORD-000834,2026-07-11,Not as expected,57.17
RET-00042,ORD-000841,2026-06-14,Wrong item,164.51
RET-00043,ORD-000861,2026-03-05,Changed mind,81.63
RET-00044,ORD-000870,2026-02-18,Changed mind,149.48
RET-00045,ORD-000930,2026-05-03,Damaged,105.78
