order_id,carrier,shipping_cost,service_level,ship_date,delivery_date,delivery_status,package_weight_lb
ORD-000001,FedEx,13.08,Standard,2026-04-15,2026-04-22,Delivered,15.79
ORD-000002,UPS,10.35,Standard,2026-02-13,2026-02-19,Delivered,10.1
ORD-000003,FedEx,10.01,Ground,2026-06-23,2026-06-29,Delivered,9.39
ORD-000004,UPS,10.01,Standard,2026-05-24,2026-05-28,Delivered,9.39
ORD-000005,UPS,22.04,Ground,2026-05-01,2026-05-04,Delivered,29.77
ORD-000006,UPS,33.0,Ground,2026-06-25,2026-06-28,Delivered,18.74
ORD-000007,UPS,9.23,Ground,2026-07-24,2026-07-28,Delivered,7.78
ORD-000008,FedEx,13.3,Ground,2026-07-14,2026-07-18,Delivered,16.26
ORD-000009,FedEx,18.42,2-Day,2026-02-22,2026-02-25,Delivered,13.3
ORD-000010,USPS,8.08,Ground,2026-07-18,2026-07-23,Delivered,1.7
ORD-000011,FedEx,15.57,2-Day,2026-04-25,2026-04-26,Delivered,4.78
ORD-000012,UPS,12.21,Ground,2026-06-10,2026-06-16,Delivered,13.98
ORD-000013,USPS,18.95,Standard,2026-04-10,2026-04-17,Delivered,28.02
ORD-000014,USPS,12.29,Standard,2026-06-11,2026-06-19,Delivered,9.45
ORD-000015,FedEx,9.0,Ground,2026-02-18,2026-02-24,Delivered,7.3
ORD-000016,FedEx,11.32,Ground,2026-07-29,2026-08-03,Delivered,12.13
ORD-000017,FedEx,13.7,2-Day,2026-05-27,2026-05-30,Delivered,6.96
ORD-000018,FedEx,9.81,Ground,2026-06-11,2026-06-15,Delivered,8.97
ORD-000019,UPS,10.82,Ground,2026-03-17,2026-03-23,Delivered,11.09
ORD-000020,FedEx,7.69,Ground,2026-05-08,2026-05-12,Delivered,4.57
ORD-000022,UPS,17.06,Ground,2026-06-25,2026-07-02,Delivered,19.39
ORD-000024,UPS,9.61,Standard,2026-03-06,2026-03-12,Delivered,3.88
ORD-000025,FedEx,7.16,Ground,2026-07-15,2026-07-22,Delivered,3.46
ORD-000026,UPS,13.94,Ground,2026-06-06,2026-06-13,Delivered,12.89
ORD-000027,FedEx,56.64,Standard,2026-05-18,2026-05-26,Delivered,18.41
ORD-000028,USPS,14.82,Ground,2026-07-27,2026-08-01,Delivered,12.66
ORD-000029,USPS,16.17,2-Day,2026-03-24,2026-03-26,Delivered,10.28
ORD-000030,USPS,9.78,Standard,2026-05-29,2026-06-06,Delivered,8.91
ORD-000031,UPS,11.51,Standard,2026-02-27,2026-03-05,Delivered,7.83
ORD-000032,FedEx,18.45,Ground,2026-02-20,2026-02-23,Delivered,22.29
ORD-000033,USPS,15.68,Standard,2026-08-02,2026-08-09,Delivered,14.07
ORD-000034,USPS,9.5,Ground,2026-02-19,2026-02-22,Delivered,8.33
ORD-000035,FedEx,8.63,Standard,2026-06-19,2026-06-24,Delivered,6.52
ORD-000036,USPS,15.91,Standard,2026-04-06,2026-04-14,Delivered,17.0
ORD-000037,FedEx,16.04,Ground,2026-07-22,2026-07-29,Delivered,21.96
ORD-000038,USPS,17.69,Ground,2026-05-14,2026-05-17,Delivered,20.7
ORD-000039,FedEx,12.71,2-Day,2026-07-12,2026-07-13,Delivered,5.63
ORD-000040,FedEx,15.11,2-Day,2026-02-21,2026-02-24,Delivered,8.85
ORD-000041,UPS,11.45,Ground,2026-07-19,2026-07-22,Delivered,7.71
ORD-000042,FedEx,10.18,Standard,2026-04-13,2026-04-20,Delivered,9.75
ORD-000043,FedEx,14.75,Ground,2026-03-26,2026-03-31,Delivered,19.27
ORD-000044,UPS,18.17,Ground,2026-07-15,2026-07-18,Delivered,26.4
ORD-000045,UPS,12.43,Ground,2026-05-26,2026-05-31,Delivered,14.43
ORD-000046,UPS,10.97,Ground,2026-06-23,2026-06-27,Delivered,6.7
ORD-000047,FedEx,16.64,2-Day,2026-02-15,2026-02-18,Delivered,10.91
ORD-000048,UPS,19.68,Ground,2026-05-19,2026-05-25,Delivered,29.55
ORD-000049,UPS,17.4,2-Day,2026-03-20,2026-03-23,Delivered,11.93
ORD-000050,USPS,9.78,Ground,2026-04-09,2026-04-16,Delivered,8.92
ORD-000051,UPS,10.06,Standard,2026-06-01,2026-06-07,In Transit,9.49
ORD-000052,UPS,12.41,Ground,2026-04-16,2026-04-21,Delivered,14.39
ORD-000053,UPS,8.28,Standard,2026-06-20,2026-06-24,In Transit,5.79
ORD-000054,USPS,9.13,Ground,2026-02-14,2026-02-20,Delivered,7.57
ORD-000055,UPS,17.59,Standard,2026-05-13,2026-05-21,Delivered,20.5
ORD-000056,UPS,12.28,Ground,2026-07-28,2026-08-04,Delivered,14.12
ORD-000057,UPS,11.26,Ground,2026-04-27,2026-05-01,Delivered,12.01
ORD-000058,FedEx,17.91,Standard,2026-04-29,2026-05-04,Delivered,21.16
ORD-000059,UPS,8.56,Ground,2026-03-21,2026-03-27,Delivered,6.37
ORD-000060,UPS,9.69,Ground,2026-07-03,2026-07-10,Delivered,8.72
ORD-000061,FedEx,22.29,2-Day,2026-03-19,2026-03-21,Delivered,13.81
ORD-000062,USPS,11.97,Standard,2026-04-04,2026-04-12,Delivered,13.48
ORD-000063,FedEx,7.01,Ground,2026-02-22,2026-02-28,Delivered,3.14
ORD-000064,FedEx,9.38,Ground,2026-03-12,2026-03-17,Delivered,8.09
ORD-000065,USPS,12.52,Standard,2026-03-21,2026-03-27,Delivered,9.93
ORD-000067,UPS,12.63,Standard,2026-07-09,2026-07-13,Delivered,14.85
ORD-000068,UPS,11.96,Ground,2026-06-05,2026-06-12,In Transit,13.45
ORD-000069,UPS,10.59,Ground,2026-04-05,2026-04-09,Delivered,10.6
ORD-000070,USPS,6.31,Standard,2026-03-09,2026-03-14,Delivered,1.69
ORD-000071,UPS,10.77,Standard,2026-06-02,2026-06-08,Delivered,10.98
ORD-000072,FedEx,17.23,2-Day,2026-06-30,2026-07-02,Delivered,11.7
ORD-000073,UPS,27.56,Ground,2026-05-23,2026-05-30,In Transit,45.96
ORD-000074,FedEx,19.23,2-Day,2026-06-08,2026-06-11,Delivered,9.7
ORD-000075,FedEx,14.4,Standard,2026-03-08,2026-03-12,Delivered,13.86
ORD-000076,USPS,18.99,Ground,2026-05-24,2026-05-30,Delivered,23.42
ORD-000077,FedEx,22.33,2-Day,2026-05-10,2026-05-12,Delivered,18.56
